   Count  Suspect
       2        0   {440}
       2        0   {45 }
       4        0   {47 }
       2        0   {479}
       2        0   {48 }
       2        0   {48/}
       4        0   {49 }
       2        0   {4: }
       2        0   {5<\n>(}
       2        0   {5<\n>B}
       2        0   {5 %}
       2        0   {5 -}
       2        0   {5 0}
       2        0   {5 1}
       2        0   {5 2}
       2        0   {5 3}
       2        0   {5 5}
       2        0   {5 e}
       2        0   {5.O}
       2        0   {50<\n>}
       4        0   {50 }
       4        0   {500}
       2        0   {502}
       2        0   {503}
       2        0   {51<\n>}
       2        0   {51 }
       2        0   {51.}
       3        0   {52 }
       1        0   {52%}
       2        0   {53 }
       2        0   {54<\n>}
       4        0   {54 }
       2        0   {545}
       2        0   {54:}
       2        0   {55<\n>}
       4        0   {55 }
       2        0   {55:}
       2        0   {56 }
       2        0   {586}
       2        0   {5: }
       2        0   {6 1}
       2        0   {6 5}
       2        0   {6 9}
       1        0   {6%<\n>}
       5        0   {60 }
       2        0   {642}
       2        0   {65 }
       2        0   {67<\n>}
       2        0   {68 }
       2        0   {690}
       2        0   {7<\n>E}
       2        0   {7<\n>U}
       4        0   {7 %}
       1        0   {7 1}
       2        0   {7 7}
       2        0   {7 9}
       2        0   {7.<\n>}
       2        0   {7.8}
       4        0   {70 }
       2        0   {70)}
       2        0   {703}
       1        0   {712}
       2        0   {73 }
       2        0   {737}
       2        0   {75 }
       2        0   {77.}
       2        0   {78<\n>}
       2        0   {785}
       2        0   {79<\n>}
       2        0   {8<\n>(}
       2        0   {8 0}
       2        0   {8 2}
       2        0   {8 4}
       2        0   {8 6}
       2        0   {8 7}
       2        0   {8.<\n>}
       2        0   {8.1}
       2        0   {8/I}
       2        0   {810}
       2        0   {85<\n>}
       2        0   {869}
       4        0   {870}
       2        0   {88 }
       2        0   {89.}
       2        0   {893}
       2        0   {9<\n>S}
       2        0   {9 4}
       2        0   {9 6}
       2        0   {9 b}
       2        0   {9.<\n>}
       2        0   {9.1}
       2        0   {900}
       8        0   {920}
       2        0   {928}
       2        0   {93 }
       2        0   {940}
       4        0   {948}
       2        0   {949}
       2        0   {950}
       4        0   {951}
       2        0   {952}
       2        0   {953}
       8        0   {954}
       8        0   {955}
       2        0   {956}
       2        0   {978}
       2        0   {:<\n>1}
       2        0   {:<\n>2}
       2        0   {:<\n>A}
       4        0   {:<\n>D}
       2        0   {:<\n>E}
       2        0   {:<\n>F}
       2        0   {:<\n>G}
       2        0   {:<\n>J}
       2        0   {:<\n>M}
       2        0   {:<\n>U}
       2        0   {:<\n>u}
       2        0   {: (}
       2        0   {: 1}
       2        0   {: 2}
       2        0   {: 4}
       2        0   {: 5}
       4        0   {: D}
       2        0   {: j}
       2        0   {:1 }
       2        0   {:Ka}
       4        0   {;<\n>A}
       2        0   {;<\n>C}
       2        0   {;<\n>D}
       4        0   {;<\n>F}
